sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),method
0.017500000000000127,0.5874999999999998,-0.5175,-0.16750000000000004,Shap
0.01749999999999996,-0.10583333333333335,-0.7675000000000001,-0.22416666666666668,Shap
0.023333333333333373,-0.21833333333333335,-0.6216666666666666,-0.26333333333333336,Shap
0.03583333333333333,-0.33416666666666667,-0.5175000000000001,-0.26416666666666666,Shap
0.03416666666666662,-0.05083333333333337,-0.8358333333333331,-0.22749999999999998,Shap
0.026666666666666672,-0.305,-0.55,-0.2516666666666667,Shap
0.01749999999999996,-0.10750000000000004,-0.7708333333333334,-0.21916666666666668,Shap
0.019166666666666665,-0.2875,-0.5625,-0.2491666666666667,Shap
0.020000000000000073,-0.12333333333333338,-0.7449999999999999,-0.2316666666666667,Shap
-0.1700000000000002,0.08166666666666672,0.27666666666666667,-0.26833333333333337,Shap
-0.2208333333333335,0.10916666666666679,0.14250000000000002,-0.11083333333333341,Shap
-0.2775000000000003,0.05416666666666664,0.2575,-0.11416666666666676,Shap
0.04083333333333339,0.2791666666666666,-0.06083333333333335,-0.3391666666666667,Shap
-0.16083333333333316,0.06583333333333333,0.1841666666666667,-0.16916666666666672,Shap
0.028333333333333488,0.09000000000000004,0.15999999999999992,-0.3583333333333334,Shap
0.009166666666666823,0.12750000000000003,0.4575000000000001,0.32583333333333314,Shap
0.0466666666666668,0.3833333333333333,-0.135,-0.375,Shap
-0.038333333333333386,0.10166666666666674,0.2016666666666666,-0.34500000000000003,Shap
0.10333333333333342,0.14666666666666672,-0.01666666666666665,-0.3133333333333333,Shap
0.034999999999999976,0.345,-0.13500000000000004,-0.32500000000000007,Shap
-0.07916666666666655,0.19083333333333333,-0.015833333333333283,-0.1758333333333334,Shap
0.007499999999999951,0.27249999999999985,-0.03750000000000003,-0.3225,Shap
-0.07166666666666643,0.08833333333333329,0.19666666666666663,-0.29333333333333333,Shap
0.05916666666666673,0.22916666666666666,-0.0008333333333334081,-0.36750000000000005,Shap
-0.10833333333333345,0.1283333333333333,0.185,-0.285,Shap
0.21,0.23166666666666683,0.3450000000000001,0.13333333333333336,Shap
0.02083333333333337,0.13416666666666663,0.12916666666666674,-0.36416666666666664,Shap
-0.030833333333333268,0.11750000000000013,0.017499999999999946,-0.18416666666666665,Shap
